Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
OR11A1,flexnonsynmtr,0.0836,146157,1,0.02,254,0.00173845195644288,11.7189,1.612,85.1932
ZFP14,flexnonsynmtr,0.0836,146157,1,0.02,254,0.00173845195644288,11.7189,1.612,85.1932
SLC35F6,flexnonsynmtr,0.0836,146157,1,0.02,254,0.00173845195644288,11.7189,1.612,85.1932
ADAMTS7,flexnonsynmtr,0.0834,146157,2,0.04,1401,0.0095888629566003,4.3037,1.045,17.7245
BCLAF3,flexnonsynmtr,0.0833,146157,1,0.02,253,0.00173160765740177,11.7653,1.6184,85.5318
CHAD,flexnonsynmtr,0.0833,146157,1,0.02,253,0.00173160765740177,11.7653,1.6184,85.5318
LIPK,flexnonsynmtr,0.083,146157,1,0.02,252,0.00172476335836065,11.812,1.6248,85.8731
UBP1,flexnonsynmtr,0.083,146157,1,0.02,252,0.00172476335836065,11.812,1.6248,85.8731
CYP4F3,flexnonsynmtr,0.0827,146157,2,0.04,1394,0.0095409528633125,4.3255,1.0503,17.8145
ZNF800,flexnonsynmtr,0.0824,146157,1,0.02,250,0.00171107476027843,11.9067,1.6377,86.5639
PSMD8,flexnonsynmtr,0.0824,146157,1,0.02,250,0.00171107476027843,11.9067,1.6377,86.5639
UCN3,flexnonsynmtr,0.0824,146157,1,0.02,250,0.00171107476027843,11.9067,1.6377,86.5639
FMR1NB,flexnonsynmtr,0.082,146157,1,0.02,249,0.00170423046123731,11.9546,1.6443,86.9135
HEXIM2,flexnonsynmtr,0.082,146157,1,0.02,249,0.00170423046123731,11.9546,1.6443,86.9135
ZMYND11,flexnonsynmtr,0.082,146157,1,0.02,249,0.00170423046123731,11.9546,1.6443,86.9135
EXOC3L4,flexnonsynmtr,0.0819,146157,2,0.04,1386,0.00948619847098359,4.3507,1.0564,17.9184
MYO1G,flexnonsynmtr,0.0818,146157,2,0.04,1385,0.00947935417194248,4.3539,1.0571,17.9315
CETN1,flexnonsynmtr,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
AGBL4,flexnonsynmtr,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
TRAF3IP2,flexnonsynmtr,0.0817,146157,1,0.02,248,0.0016973861621962,12.0029,1.6509,87.2659
