Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
C2CD4C,flexnonsyn,0.053338868834639,1424,253099,0.021988185,-0.0001083317,0.047599880000004,0.0246353721507372,-0.000684791779746341,0.0958845517797544
PSMG2,flexnonsyn,0.0533434679389697,850,253673,0.031790935,-0.0000787867,0.0615387609094953,0.0318500702601119,-0.000886526569893215,0.123964048388884
TULP1,flexnonsyn,0.0532924870601398,1940,252583,-0.01671833,0.0001674217,-0.0408307060829746,0.0211278665176138,-0.0822407604538738,0.000579348287924539
GOLGA4,flexnonsyn,0.0534336706927538,6062,248461,-0.027687215,0.0007189287,-0.0232751782162866,0.0120508835365493,-0.0468945882523095,0.000344231819736199
MESP2,flexnonsyn,0.053415481646243,983,253540,-0.1139848,0.00042840265,-0.0572231656452337,0.0296254292689635,-0.11528821616826,0.000841884877792708
PIK3R2,flexnonsyn,0.0534667245623034,1906,252617,0.033081705,-0.0002757534,0.0411608122278878,0.0213142446926084,-0.000614538390677571,0.0829361628464531
TADA3,flexnonsyn,0.0536212245290593,1131,253392,0.05631299,-0.000251132582214134,0.0533169987073371,0.027626921620963,-0.000831030175318562,0.107465027589993
ATP5MD,flexnonsyn,0.0536505765268254,103,254420,0.09141138,-0.00002462084,0.17629597610393,0.0913613461068302,-0.00276982339496165,0.355361775602821
C15ORF61,flexnonsyn,0.0536587707656015,514,254009,0.1302924,-0.0002954501,0.0789796089947759,0.0409307726470879,-0.0012436127557868,0.159202830745339
DDX4,flexnonsyn,0.0536256146470644,1227,253296,0.06189691,-0.00029052595,0.0511970765231948,0.0265289422948714,-0.000798942190631403,0.103193095237021
THAP2,flexnonsyn,0.0537418167087723,304,254219,-0.21489005,0.0001674217,-0.10262064338775,0.0532010687449522,-0.206893317937344,0.00165203116184409
CENPS-CORT,flexnonsyn,0.0539059019468438,700,253823,0.0980840873232366,-0.0002954501,0.0676334827209101,0.0350868708127525,-0.00113584743599451,0.136402812877815
HAND2,flexnonsyn,0.0539062980548951,780,253743,0.09655525,-0.0003052985,0.0640809920662327,0.0332439660268645,-0.00107629390625842,0.129238278038724
NTSR2,flexnonsyn,0.0539676640804364,1665,252858,0.03538261,-0.00024128425,0.0439256550506559,0.0227935977816165,-0.000749188131368768,0.0886004982326805
CKAP2,flexnonsyn,0.0539949274126801,2686,251837,0.050247655,-0.0006795353,0.0346497309908263,0.0179822406000099,-0.000594980553342374,0.0698944425349951
CKMT2,flexnonsyn,0.0541344241875089,1249,253274,0.0254804,-0.0001428009,0.0506391043500316,0.0262955332701334,-0.000899438906109273,0.102177647606172
FRY,flexnonsyn,0.0541015415310834,4818,249705,-0.051154875,0.000787867,-0.0259701551049252,0.0134837638144891,-0.0523979722352949,0.000457662025444429
GOT2,flexnonsyn,0.0541926492972767,770,253753,-0.0069431436664231,0.00004924168,-0.0644179169173408,0.0334585967351875,-0.129995873348627,0.00116003951394518
WNT11,flexnonsyn,0.054265776332981,1060,253463,0.032209645,-0.0002166634,0.0549179038820216,0.0285329629858808,-0.00100594188930339,0.110841749653347
HILPDA,flexnonsyn,0.0543265689291925,97,254426,-0.344095,0.0000935592,-0.181154788779838,0.0941439222883262,-0.365674363314219,0.0033647857545428
LNX1,flexnonsyn,0.0543465961194086,4110,250413,0.0355452060914921,-0.0005712036,0.0280497285515326,0.014578310799639,-0.000523371451046275,0.0566228285541115
ARID3A,flexnonsyn,0.0544127593769764,2819,251704,-0.0411284,0.00044809935,-0.0337734048861561,0.0175578972796247,-0.0681864148501189,0.000639605077806658
