Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
PLCH1,flexnonsyn,0.0819,146157,4,0.0300751879699248,1789,0.0122514107270038,2.4999,0.9232,6.7696
DDAH2,flexnonsyn,0.0818,146157,2,0.0150375939849624,518,0.00354736207746672,4.2885,1.0585,17.3758
URB1,flexnonsyn,0.0817,146157,8,0.0601503759398496,4743,0.0324809620336383,1.9064,0.9322,3.8985
ST6GAL1,flexnonsyn,0.0816,146157,2,0.0150375939849624,517,0.00354051388812798,4.2969,1.0605,17.4096
ARHGEF6,flexnonsyn,0.0816,146157,2,0.0150375939849624,517,0.00354051388812798,4.2969,1.0605,17.4096
DSTN,flexnonsyn,0.0812,146157,1,0.0075187969924812,92,0.000630033419163973,12.0168,1.6625,86.8607
UQCC2,flexnonsyn,0.0812,146157,1,0.0075187969924812,92,0.000630033419163973,12.0168,1.6625,86.8607
SGSM1,flexnonsyn,0.0809,146157,5,0.037593984962406,2513,0.0172094998082507,2.2308,0.9121,5.4559
SSBP4,flexnonsyn,0.0808,146157,2,0.0150375939849624,514,0.00351996932011176,4.322,1.0667,17.5119
TMEM53,flexnonsyn,0.0808,146157,2,0.0150375939849624,514,0.00351996932011176,4.322,1.0667,17.5119
MATN1,flexnonsyn,0.0804,146157,3,0.0225563909774436,1101,0.00753985646195146,3.0376,0.9655,9.5562
TOMM5,flexnonsyn,0.0804,146157,1,0.0075187969924812,91,0.000623185229825234,12.1489,1.6806,87.826
RPP14,flexnonsyn,0.0804,146157,1,0.0075187969924812,91,0.000623185229825234,12.1489,1.6806,87.826
CCDC137,flexnonsyn,0.0802,146157,2,0.0150375939849624,512,0.00350627294143428,4.339,1.0709,17.5807
CACNA1D,flexnonsyn,0.0802,146157,0,0,3400,0.023283843751712,0,,
OSTM1,flexnonsyn,0.0802,146157,2,0.0150375939849624,512,0.00350627294143428,4.339,1.0709,17.5807
PRICKLE2,flexnonsyn,0.0802,146157,3,0.0225563909774436,1100,0.00753300827261272,3.0404,0.9664,9.5649
SLC26A1,flexnonsyn,0.0802,146157,0,0,3408,0.023338629266422,0,,
CPQ,flexnonsyn,0.0802,146157,3,0.0225563909774436,1100,0.00753300827261272,3.0404,0.9664,9.5649
FBRSL1,flexnonsyn,0.0801,146157,5,0.037593984962406,2505,0.0171547142935408,2.238,0.915,5.4737
OR10C1,flexnonsyn,0.08,146157,2,0.0150375939849624,511,0.00349942475209555,4.3475,1.073,17.6153
NACC2,flexnonsyn,0.08,146157,2,0.0150375939849624,511,0.00349942475209555,4.3475,1.073,17.6153
SPTBN4,flexnonsyn,0.0799,146157,0,0,3364,0.0230373089355174,0,,
ECT2L,flexnonsyn,0.0798,146157,4,0.0300751879699248,1772,0.0121349915082452,2.5242,0.9322,6.8354
DUS4L,flexnonsyn,0.0797,146157,2,0.0150375939849624,510,0.00349257656275681,4.3561,1.0751,17.6501
HGSNAT,flexnonsyn,0.0795,146157,3,0.0225563909774436,1096,0.00750561551525777,3.0515,0.97,9.6001
IL17A,flexnonsyn,0.0794,146157,2,0.0150375939849624,509,0.00348572837341807,4.3646,1.0772,17.685
OR10K2,flexnonsyn,0.0792,146157,2,0.0150375939849624,508,0.00347888018407933,4.3733,1.0793,17.72
ZNF766,flexnonsyn,0.079,146157,3,0.0225563909774436,1093,0.00748507094724155,3.06,0.9727,9.6267
LARS2,flexnonsyn,0.0789,146157,3,0.0225563909774436,1092,0.00747822275790281,3.0628,0.9736,9.6356
LRRC28,flexnonsyn,0.0789,146157,2,0.0150375939849624,507,0.00347203199474059,4.3819,1.0814,17.7552
CFAP99,flexnonsyn,0.0787,146157,5,0.037593984962406,2492,0.0170656878321372,2.2499,0.9199,5.5028
RAB6A,flexnonsyn,0.0787,146157,1,0.0075187969924812,89,0.000609488851147756,12.4221,1.7179,89.8224
